Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 22_promo_ins,Retailer 0_Promo.Group 20_display_silver,Retailer 0_Promo.Group 19_display_bronze,Retailer 0_Promo.Group 22_display_bronze,Vol.Sales_pred
7.433939887432248,ppg5_0,2018-12-23,2018,12,51,8.688477544660564,43.0758,4.000664468305189,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.5441831305820686,2.856072549168469,-0.0,0.0,0.0,23.503005128198254
3.8563932084213137,ppg5_0,2018-12-30,2018,12,52,8.688477544660564,21.451680000000003,3.982297928753153,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,3.163952489416134,-2.5388716835453624,2.856072549168469,-0.0,0.0,0.0,19.912403356671987
3.186763215598946,ppg5_0,2019-01-06,2019,1,1,8.688477544660564,11.05388,3.986619467471279,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,0.0,-2.533560236508657,0.0,-0.0,0.0,0.0,13.23238131101985
3.287854346013742,ppg5_0,2019-01-13,2019,1,2,8.688477544660564,14.8684,4.965718083296712,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,0.0,-2.5255930659535983,0.0,-0.0,0.0,0.0,14.296558557764568
4.377929650446961,ppg5_0,2019-01-20,2019,1,3,8.688477544660564,18.61832,3.809436380028112,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,0.0,-2.5415274070637155,0.0,-0.0,0.0,0.0,14.238397487869644
3.9631586003397605,ppg5_0,2019-01-27,2019,1,4,8.688477544660564,16.53748,4.18378967148578,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,0.0,-2.5388716835453624,0.0,-0.0,0.0,0.0,14.176655782687892
3.9368306009421516,ppg5_0,2019-02-03,2019,2,5,8.688477544660564,16.78932,4.116265629015061,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,0.0,-2.5362159600270098,0.0,-0.0,0.0,0.0,14.085459464337914
2.922998781047995,ppg5_0,2019-02-10,2019,2,6,8.688477544660564,11.76236,4.100059858822088,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,0.0,-2.5229373424352453,0.0,-0.0,0.0,0.0,13.068700491842549
4.224992739063272,ppg5_0,2019-02-17,2019,2,7,8.688477544660564,18.54208,3.2595205781465717,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,0.0,-2.507003001325128,0.0,-0.0,0.0,0.0,13.570069180342998
4.2022369462555,ppg5_0,2019-02-24,2019,2,8,8.688477544660564,17.46516,3.2497971160307877,-0.0959186802022814,0.0,0.0,0.0,0.0,0.0,0.0,-2.512314448361834,0.0,-0.0,0.0,0.0,13.532278478382736
5.657010696525387,ppg5_0,2019-03-03,2019,3,9,8.688477544660564,22.27668,4.056844471640827,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,0.0,-2.5176258953985395,0.0,-0.0,0.0,0.0,15.764808467175387
4.156012432791368,ppg5_0,2019-03-10,2019,3,10,8.688477544660564,17.57592,4.060895914189071,-0.11989835025285175,0.0,0.0,0.0,0.0,0.0,0.0,-2.5202816189168926,0.0,-0.6190304427968397,0.0,0.0,13.646175479674417
