Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 0_Promo.Group 6_promo_catalogue,Retailer 1_Promo.Group 3_display_silver,Vol.Sales_pred
5.99603365655976,ppg20_1,2018-10-28,2018,10,43,1.043500402961017,16.8221,1.7468596937975351,-0.09299738347169188,3.6600571074675936,0.0,-0.0,0.0,3.6664522403933866,0.0,3.666452240393387,0.8636925978257161,0.0,20.550050555926703
4.428325518652466,ppg20_1,2018-11-04,2018,11,44,1.043500402961017,7.67204,1.7441014942810127,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.122930032422804
4.515235671136068,ppg20_1,2018-11-11,2018,11,45,1.043500402961017,12.84512,1.7427223945227517,-0.09299738347169188,3.6600571074675936,0.0,-0.0,0.0,3.6664522403933866,0.0,3.666452240393387,0.0,0.0,18.20142267340251
1.7743681767605402,ppg20_1,2018-11-18,2018,11,46,1.043500402961017,3.75978,1.7408835948450698,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.8636925978257161,0.0,5.329447388920651
5.224023924212289,ppg20_1,2018-11-25,2018,11,47,1.043500402961017,15.71648,1.7390447951673882,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,1.908196995135005,0.0,0.8636925978257161,0.0,10.685461331829725
2.7537253714195247,ppg20_1,2018-12-02,2018,12,48,1.043500402961017,8.27404,1.7418029946839106,-0.09299738347169188,0.0,0.0,-0.0,0.0,3.6664522403933866,0.0,3.666452240393387,0.0,0.0,12.778935866379534
4.648558521288038,ppg20_1,2018-12-09,2018,12,49,1.043500402961017,12.07202,1.7418029946839106,-0.09299738347169188,3.6600571074675936,0.0,-0.0,0.0,3.6664522403933866,0.0,3.666452240393387,0.0,0.0,18.333826123715642
3.079353542659016,ppg20_1,2018-12-16,2018,12,50,1.043500402961017,9.48032,1.7404238949256494,-0.09299738347169188,0.0,0.0,-0.0,0.0060769516043394,0.0,1.908196995135005,0.0,0.8636925978257161,0.0,8.548247001639051
4.480847625161697,ppg20_1,2018-12-23,2018,12,51,1.043500402961017,9.6701,2.1738059939592356,-0.11624672933961484,0.0,0.0,-0.0,0.0,0.0,1.908196995135005,0.0,0.0,0.0,9.49010428787734
3.036976244094171,ppg20_1,2018-12-30,2018,12,52,1.043500402961017,7.08422,2.1634627457722764,-0.11624672933961484,0.0,0.0,-0.0,0.0,0.0,1.908196995135005,0.0,0.0,0.0,8.035889658622855
1.7015053745029154,ppg20_1,2019-01-06,2019,1,1,1.043500402961017,4.08254,1.918787463660766,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.8636925978257161,0.0,5.434488455478722
1.7195786017653638,ppg20_1,2019-01-13,2019,1,2,1.043500402961017,4.20992,2.090255533604577,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.760337154859266
8.520896195464625,ppg20_1,2019-01-20,2019,1,3,1.043500402961017,32.00206,1.828073346228473,-0.07749781955974319,0.0,1.246023744726306,-0.0,0.0,3.6664522403933866,0.0,3.666452240393387,0.8636925978257161,1.1570073116136097,21.914600260046775
6.898198573630291,ppg20_1,2019-01-27,2019,1,4,1.043500402961017,11.55414,1.8303718458255753,-0.07749781955974319,0.0,0.0,-0.0,0.0,0.0,1.908196995135005,0.0,0.0,0.0,11.602769997992144
2.3520027946665545,ppg20_1,2019-02-03,2019,2,5,1.043500402961017,4.38614,2.1969059149101104,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.8636925978257161,0.0,6.3631043268917065
4.325903945821,ppg20_1,2019-02-10,2019,2,6,1.043500402961017,10.84798,2.19598651507127,-0.09299738347169188,0.0,0.0,-0.3034906529828359,0.0,3.6664522403933866,0.0,3.666452240393387,0.8636925978257161,0.0,15.365499906011248
1.8037394018333825,ppg20_1,2019-02-17,2019,2,7,1.043500402961017,4.51682,2.1936880154741676,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9479304367968755
3.447382015384078,ppg20_1,2019-02-24,2019,2,8,1.043500402961017,10.9641,1.8307549290917586,-0.07749781955974319,0.0,0.0,-0.0,0.0060769516043394,3.6664522403933866,0.0,3.666452240393387,0.0,0.0,13.583120960268225
3.478376321756882,ppg20_1,2019-03-03,2019,3,9,1.043500402961017,4.71108,2.194607415313009,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.8636925978257161,0.0,7.487179354384931
5.372828396596466,ppg20_1,2019-03-10,2019,3,10,1.043500402961017,6.63938,2.1932283155547476,-0.09299738347169188,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51655973164054
