Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 3_display_bronze,Vol.Sales_pred
9.595526024625489,ppg6_0,2018-10-14,2018,10,41,14.8851853927152,14.33896,-6.883252408068021,-0.004795273151641263,0.0,0.0,-0.0,-0.0,0.0,0.0,1.1384816492334269,0.0022619859092986,18.733407371263752
33.64009238970699,ppg6_0,2018-10-21,2018,10,42,14.8851853927152,55.82044,-7.401086362200854,-0.0051641403171521294,0.0,0.0,-0.0,-1.6885213346949703,12.637295312338438,0.0,1.1384816492334269,0.0,53.206282906781084
30.672245071420594,ppg6_0,2018-10-28,2018,10,43,14.8851853927152,43.9622,-7.394680512017188,-0.0051641403171521294,0.0,0.0,-0.0,-1.6885213346949703,12.637295312338438,0.0,1.1384816492334269,0.0,50.24484143867835
10.30707495667961,ppg6_0,2018-11-04,2018,11,44,14.8851853927152,15.40216,-7.391186411917007,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,0.0,0.0,1.1384816492334269,0.0,18.934391446394077
23.85124468969901,ppg6_0,2018-11-11,2018,11,45,14.8851853927152,15.31746,-7.388274661833522,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,0.0,0.0,1.1384816492334269,0.0,32.48147292949696
16.545585484001144,ppg6_0,2018-11-18,2018,11,46,14.8851853927152,35.10956,-7.385362911750038,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,12.637295312338438,0.0,1.1384816492334269,0.0,37.81602078622102
77.13940997705973,ppg6_0,2018-11-25,2018,11,47,14.8851853927152,109.46068,-6.8637852789384395,-0.004795273151641263,0.0,4.111278507654205,-0.0,-0.0,12.637295312338438,0.0,1.1384816492334269,0.0,103.04307028691092
21.89839249283899,ppg6_0,2018-12-02,2018,12,48,14.8851853927152,31.695,-7.395262862033886,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,0.0,0.0,1.1384816492334269,0.0,30.521632532436584
14.976857262591201,ppg6_0,2018-12-09,2018,12,49,14.8851853927152,12.50154,-7.391768761933704,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,0.0,0.0,1.1384816492334269,0.0,23.603591402288973
30.60177288231575,ppg6_0,2018-12-16,2018,12,50,14.8851853927152,51.79212,-7.395845212050581,-0.0051641403171521294,0.0,0.0,-1.6683421175589344,-0.0,12.637295312338438,0.0,1.1384816492334269,0.0022619859092986,50.19564575258545
18.854543372022366,ppg6_0,2018-12-23,2018,12,51,14.8851853927152,36.82532,-6.865407539699237,-0.004795273151641263,0.0,0.0,-0.0,-0.0,0.0,1.4755937001150308,1.1384816492334269,0.0,29.483601301235144
12.240245106152155,ppg6_0,2018-12-30,2018,12,52,14.8851853927152,25.44424,-7.360904211048768,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,0.0,1.4755937001150308,1.1384816492334269,0.0,22.373437496849892
43.559159634276355,ppg6_0,2019-01-06,2019,1,1,14.8851853927152,101.70436,-7.374880611449494,-0.0051641403171521294,12.54060811178541,0.0,-0.0,-0.0,12.637295312338438,0.0,0.0,0.0,76.24220369934875
44.28767466190763,ppg6_0,2019-01-13,2019,1,2,14.8851853927152,22.70828,-7.371968861366009,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,51.79572705293967
22.812967147502572,ppg6_0,2019-01-20,2019,1,3,14.8851853927152,33.14964,-7.374880611449494,-0.0051641403171521294,0.0,0.0,-1.6683421175589344,-0.0,12.637295312338438,0.0,0.0,0.0,41.28706098323063
11.520959269550332,ppg6_0,2019-01-27,2019,1,4,14.8851853927152,21.50244,-7.374880611449494,-0.0051641403171521294,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,19.026099910498885
27.937337448185236,ppg6_0,2019-02-03,2019,2,5,14.8851853927152,39.82658,-7.365563011182341,-0.0051641403171521294,0.0,0.0,-1.6683421175589344,-0.0,12.637295312338438,0.0,0.0,0.0,46.42074888418044
63.230235803561555,ppg6_0,2019-02-10,2019,2,6,14.8851853927152,84.52682,-7.371386511349311,-0.0051641403171521294,12.54060811178541,0.0,-0.0,-0.0,12.637295312338438,0.0,0.0,0.0,95.91677396873413
20.122678974291617,ppg6_0,2019-02-17,2019,2,7,14.8851853927152,33.48384,-7.36614536119904,-0.0051641403171521294,0.0,0.0,-0.0,-1.6885213346949703,0.0,1.4755937001150308,0.0,0.0,27.423627230910682
