Seasonal_index,PPG,Date,Year,Month,Week,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_promo_ins,Vol.Sales_pred
4.234454845047505,ppg5_1,2019-01-27,2019,1,4,16.581167536150215,22.7395,0.8307691137291582,-0.11175459429027225,0.0,0.0,0.4198563503270516,0.0,0.0,0.0,0.0,0.0,21.954493250963658
4.595745151362796,ppg5_1,2019-02-03,2019,2,5,16.581167536150215,23.22096,0.9476864932703629,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.990493667635047
4.755203311277259,ppg5_1,2019-02-10,2019,2,6,16.581167536150215,21.49696,0.8841852861466387,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.086450620425786
4.994511299580675,ppg5_1,2019-02-17,2019,2,7,16.581167536150215,22.84102,0.8128614665511513,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.3783551860686447,1.789412892827271,24.422202868029633
4.252699424983957,ppg5_1,2019-02-24,2019,2,8,16.581167536150215,17.97274,0.7650054843709534,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.464766932356795
4.231282661840246,ppg5_1,2019-03-03,2019,3,9,16.581167536150215,20.75356,0.7302638819228288,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.40860856676496
5.027826785941213,ppg5_1,2019-03-10,2019,3,10,16.581167536150215,22.9896,0.7143885801418978,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.189277389084996
3.659089987475545,ppg5_1,2019-03-17,2019,3,11,16.581167536150215,15.38674,0.7088667360441825,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.815018746521616
4.702324806699999,ppg5_1,2019-03-24,2019,3,12,16.581167536150215,19.20572,0.707256198182349,-0.13410551314832675,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.16072565291739
5.5226018258274125,ppg5_1,2019-03-31,2019,3,13,16.581167536150215,23.08296,0.7061058139953251,-0.13410551314832675,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.979852287857778
4.9800094734942695,ppg5_1,2019-04-07,2019,4,14,16.581167536150215,26.27626,0.7044952761334915,-0.13410551314832675,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.435649397662804
4.679851712826762,ppg5_1,2019-04-14,2019,4,15,16.581167536150215,20.97994,0.7028847382716579,-0.13410551314832675,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.13388109913346
4.6889106837911605,ppg5_1,2019-04-21,2019,4,16,16.581167536150215,20.08348,0.7010441235724195,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.837016830365467
4.19297573581392,ppg5_1,2019-04-28,2019,4,17,16.581167536150215,19.0714,0.6982832015235619,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33832096033937
4.504161271145742,ppg5_1,2019-05-05,2019,5,18,16.581167536150215,22.79266,0.6962125099869187,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.64743580413455
5.516497489480266,ppg5_1,2019-05-12,2019,5,19,16.581167536150215,14.79356,0.8656641007355524,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.795697234930625
4.110396045513901,ppg5_1,2019-05-19,2019,5,20,16.581167536150215,23.59028,0.8656641007355524,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.38959579096426
4.740211033316447,ppg5_1,2019-05-26,2019,5,21,16.581167536150215,28.051245,0.578068053979555,-0.11175459429027225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78769202915594
4.999176872032634,ppg5_1,2019-06-02,2019,6,22,16.581167536150215,24.55614,0.6941418184502756,-0.13410551314832675,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.0,0.0,23.3774231101381
5.306202314158013,ppg5_1,2019-06-09,2019,6,23,16.581167536150215,27.80794,0.69483204896249,-0.13410551314832675,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.752179011155544
4.5958140272442165,ppg5_1,2019-06-16,2019,6,24,16.581167536150215,21.74122,0.8665268888758205,-0.16763189143540844,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.0,0.0,23.112918957488144
6.296838168900615,ppg5_1,2019-06-23,2019,6,25,16.581167536150215,37.77506,0.6943718952876804,-0.13410551314832675,0.0,0.0,0.0,1.3040826250331543,3.8621305407823527,0.0,0.0,0.0,28.60448525300569
4.938568798529294,ppg5_1,2019-06-30,2019,6,26,16.581167536150215,20.51904,0.692531280588442,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.07816210211962
4.704424987154672,ppg5_1,2019-07-07,2019,7,27,16.581167536150215,17.1188,0.6916109732388228,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.84309798339538
4.701765712633212,ppg5_1,2019-07-14,2019,7,28,16.581167536150215,19.03658,0.8639385244550164,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.979239881803032
4.765751877649208,ppg5_1,2019-07-21,2019,7,29,16.581167536150215,23.3182,0.8639385244550164,-0.16763189143540844,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.347308671852183
5.202856398660497,ppg5_1,2019-07-28,2019,7,30,16.581167536150215,26.78434,0.8633633323615044,-0.16763189143540844,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.78383800076996
5.281633547584558,ppg5_1,2019-08-04,2019,8,31,16.581167536150215,22.34786,0.5761507470011817,-0.11175459429027225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.327197236445684
4.184165474494888,ppg5_1,2019-08-11,2019,8,32,16.581167536150215,17.01534,0.6906906658892036,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.321918163385977
5.030388901967959,ppg5_1,2019-08-18,2019,8,33,16.581167536150215,21.616380000000003,0.8630757363147485,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.307000282997514
5.026708153147548,ppg5_1,2019-08-25,2019,8,34,16.581167536150215,37.5966,1.1496172642326408,-0.22350918858054458,0.0,0.0,0.4198563503270516,0.0,3.8621305407823527,0.0,0.3783551860686447,1.789412892827271,28.983738734955185
4.873219771255304,ppg5_1,2019-09-01,2019,9,35,16.581167536150215,23.29202,0.8627881402679926,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1495435562381
4.262261242187797,ppg5_1,2019-09-08,2019,9,36,16.581167536150215,20.75396,1.1496172642326408,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.76953685399011
5.194443222793273,ppg5_1,2019-09-15,2019,9,37,16.581167536150215,15.62394,1.1496172642326408,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.701718834595585
4.9805959709158625,ppg5_1,2019-09-22,2019,9,38,16.581167536150215,22.67172,0.8630757363147485,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.257207351945414
5.468462101281049,ppg5_1,2019-09-29,2019,9,39,16.581167536150215,24.01756,1.1496172642326408,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.97573771308336
5.69640848554846,ppg5_1,2019-10-06,2019,10,40,16.581167536150215,39.94114,1.1496172642326408,-0.22350918858054458,1.4711585803976843,0.0,0.0,0.0,3.8621305407823527,0.0,0.0,0.0,28.53697321853081
3.5604277130309803,ppg5_1,2019-10-13,2019,10,41,16.581167536150215,16.410960000000003,1.1496172642326408,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.067703324833293
4.482285397518914,ppg5_1,2019-10-20,2019,10,42,16.581167536150215,25.47106,1.1496172642326408,-0.22350918858054458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98956100932123
5.887110792934399,ppg5_1,2019-10-27,2019,10,43,16.581167536150215,30.16926,1.1496172642326408,-0.22350918858054458,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.0,0.0,24.631428801390012
6.667031925710411,ppg5_1,2019-11-03,2019,11,44,16.581167536150215,35.4918,0.9019012026268082,-0.16763189143540844,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.3783551860686447,1.789412892827271,27.387279248601242
4.820730300982918,ppg5_1,2019-11-10,2019,11,45,16.581167536150215,21.75406,1.020103177843523,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25436912354125
5.154724981403743,ppg5_1,2019-11-17,2019,11,46,16.581167536150215,26.4569,1.0833743081298426,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.65163493424839
5.39407757167342,ppg5_1,2019-11-24,2019,11,47,16.581167536150215,28.55274,1.1167354495535384,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.924348665941764
8.950109229549582,ppg5_1,2019-12-01,2019,12,48,16.581167536150215,55.71438,1.1345664044524102,-0.16763189143540844,1.4711585803976843,0.0,0.0,0.0,3.8621305407823527,0.0,0.0,0.0,31.831500399896836
6.4231794764927175,ppg5_1,2019-12-08,2019,12,49,16.581167536150215,32.63956,0.9154757360336913,-0.13410551314832675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.785717235528296
7.384641360408712,ppg5_1,2019-12-15,2019,12,50,16.581167536150215,40.8451,1.146933034462918,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.789412892827271,26.734522932413707
8.834928648004178,ppg5_1,2019-12-22,2019,12,51,16.581167536150215,46.44384,1.147220630509674,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.395684923228657
4.420706131246015,ppg5_1,2019-12-29,2019,12,52,16.581167536150215,17.35076,1.146357842369406,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.980599618330224
6.1842957213949665,ppg5_1,2020-01-05,2020,1,1,16.581167536150215,24.69392,1.14607024632265,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.743901612432424
5.870254663881154,ppg5_1,2020-01-12,2020,1,2,16.581167536150215,23.85224,1.1331284242186301,-0.16763189143540844,0.0,1.2370423966533002,0.0,0.0,0.0,0.0,0.0,0.0,24.653961129467888
4.357633541768432,ppg5_1,2020-01-19,2020,1,3,16.581167536150215,20.45726,1.051738742986683,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.82290792946992
4.234454845047505,ppg5_1,2020-01-26,2020,1,4,16.581167536150215,14.964,1.0060109715524792,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.654001461314788
4.595745151362796,ppg5_1,2020-02-02,2020,2,5,16.581167536150215,17.41374,0.9784017510639035,-0.16763189143540844,0.0,0.0,0.0,1.3040826250331543,0.0,0.0,0.0,0.0,23.291765172174657
4.755203311277259,ppg5_1,2020-02-09,2020,2,6,16.581167536150215,20.05214,0.8846454398214484,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.053384395813513
4.994511299580675,ppg5_1,2020-02-16,2020,2,7,16.581167536150215,20.85042,0.8722788098109404,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.28032575410642
4.252699424983957,ppg5_1,2020-02-23,2020,2,8,16.581167536150215,18.940340000000003,0.8699780414368924,-0.16763189143540844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.536213111135652
