PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 3_display_bronze,Vol.Sales_pred
ppg6_0,2019,8,72.22858325004171,59.5407415708608,111.97158,-22.939956815581994,-0.0195991420608105,0.0,0.0,0.0,-1.6885213346949703,12.637295312338438,0.0,0.0,0.0045239718185972,119.76306681272177
ppg6_0,2019,9,158.9680286972154,74.425926963576,216.35176,-29.76116676210925,-0.0233369960046538,0.0,0.0,-3.3366842351178687,0.0,25.274590624676875,0.0,0.0,0.0,225.5473582922365
ppg6_0,2019,10,111.97060984825342,59.5407415708608,158.995,-23.602271808857328,-0.0191810926065648,0.0,0.0,-1.6683421175589344,-1.6885213346949703,12.637295312338438,1.4755937001150308,0.0,0.0,158.64592407784988
ppg6_0,2019,11,127.8433151074395,59.5407415708608,205.61020000000002,-22.759813770655104,-0.0185417228530126,12.54060811178541,0.0,-1.6683421175589344,0.0,25.274590624676875,0.0,0.0,0.0022619859092986,200.75481978960482
ppg6_0,2019,12,98.57181111592047,74.425926963576,134.58278,-29.183281428873702,-0.0237058631701647,0.0,0.0,0.0,-3.3770426693899407,0.0,2.9511874002300615,0.0,0.0022619859092986,143.36715750420203
ppg6_0,2020,1,122.1807607132369,59.5407415708608,199.5581,-24.96068855665507,-0.0175049168103465,12.54060811178541,0.0,0.0,-3.3770426693899407,12.637295312338438,2.9511874002300615,0.0,0.0,181.49535696559627
ppg6_0,2020,2,118.9706114268867,59.5407415708608,200.2223,-26.317431619086204,-0.0182220379762365,12.54060811178541,0.0,-1.6683421175589344,-1.6885213346949703,25.274590624676875,1.4755937001150308,0.0,0.0045239718185972,188.11415229682703
ppg6_0,2020,3,130.7093213705784,74.425926963576,225.0406,-32.6823717140791,-0.0227375868606987,0.0,0.0,-3.3366842351178687,-3.3770426693899407,37.91188593701531,1.4755937001150308,0.0,0.0,205.10389176583715
ppg6_0,2020,4,120.41055472335711,59.5407415708608,178.22518000000002,-26.447825334015274,-0.0185417228530126,12.54060811178541,0.0,0.0,-1.6885213346949703,12.637295312338438,1.4755937001150308,0.0,0.0,178.44990502689353
ppg6_0,2020,5,83.44857948172228,74.425926963576,118.66178,-30.303584206232646,-0.0234261389029857,0.0,0.0,-1.6683421175589344,-1.6885213346949703,25.274590624676875,0.0,0.0,0.0,149.4652232725856
ppg6_0,2020,6,118.34585817144212,59.5407415708608,165.78462000000002,-24.253982139001224,-0.0197497628200608,0.0,0.0,-1.6683421175589344,0.0,12.637295312338438,0.0,0.0,0.0,164.58182103526113
ppg6_0,2020,7,154.6501427832508,59.5407415708608,228.57022,-21.846530531404348,-0.0179423137090575,0.0,4.111278507654205,-3.3366842351178687,0.0,37.91188593701531,0.0,0.0,0.0,231.0128917185498
ppg6_0,2020,8,111.73431082680273,74.425926963576,170.69286,-29.07057312933265,-0.024824760238881,0.0,4.111278507654205,-1.6683421175589344,0.0,25.274590624676875,0.0,0.0,0.0022619859092986,184.78462890148865
ppg6_0,2020,9,119.46230112045438,59.5407415708608,188.10644,-21.25823118534045,-0.0190212501681767,0.0,4.111278507654205,0.0,0.0,12.637295312338438,0.0,0.0,0.0,174.47436407579923
