PPG,Year,Month,Seasonal_index,Intercept,Vol.Sales,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 22_promo_ins,Retailer 0_Promo.Group 20_display_silver,Retailer 0_Promo.Group 19_display_bronze,Retailer 0_Promo.Group 22_display_bronze,Vol.Sales_pred
ppg5_0,2019,7,14.487908560033434,34.75391017864226,51.99324,16.22917852769586,-0.7193901015171105,0.0,0.0,0.0,0.0,0.0,0.0,-10.13689666955298,0.0,0.0,0.0,0.0,54.614710495301466
ppg5_0,2019,8,18.673168108226918,34.75391017864226,66.80968,18.301716471263813,-0.7193901015171105,0.0,0.0,0.0,0.3154694497282032,0.8707227573581263,0.0,-10.160798181218157,0.0,0.0,0.3230077286843124,0.0,62.35780641116836
ppg5_0,2019,9,21.714021356573642,43.44238772330282,72.92106,25.524088053931973,-0.7593562182680609,0.0,0.0,0.0,0.0,0.0,0.0,-12.689046970690107,0.0,0.0,0.0,0.0,77.23209394485026
ppg5_0,2019,10,17.06448590244115,34.75391017864226,67.30034,21.54647179212346,-0.6394578680152092,0.0,0.0,0.0,0.0,0.0,0.0,-10.21922409862192,0.0,0.0,0.0,0.0,62.50618590656974
ppg5_0,2019,11,15.608323183021987,34.75391017864226,57.93638,21.532066663063038,-0.6394578680152092,0.0,0.0,0.0,0.0,0.0,0.0,-10.240469886768745,0.0,0.0,0.0,0.0,61.01437226994332
ppg5_0,2019,12,24.94465685281908,43.44238772330282,83.14304,26.87456890334636,-0.7993223350190115,0.0,0.0,0.0,0.0,0.0,0.0,-12.742161441057165,0.0,0.0,0.0,0.0,81.72012970339209
ppg5_0,2020,1,14.815705812399411,34.75391017864226,43.13948,21.469044223423694,-0.6394578680152092,0.0,0.0,0.0,0.0,0.0,0.0,-10.158142457699803,0.0,-0.6190304427968397,0.0,0.0,59.622029445953515
ppg5_0,2020,2,15.287059067308919,34.75391017864226,42.92382,20.133868823636003,-0.5994917512642586,0.0,0.0,0.0,0.0,0.0,0.0,-10.144863840108039,0.0,0.0,0.0,0.0,59.430482478214884
ppg5_0,2020,3,21.710493279450038,43.44238772330282,66.92022,26.856562492020835,-0.7993223350190115,0.0,0.0,0.0,0.0,0.0,0.0,-12.670456906061638,0.0,0.0,0.0,0.0,78.53966425369305
ppg5_0,2020,4,16.392751912110256,34.75391017864226,70.7248,20.167540812814735,-0.44762050761064653,0.0,0.0,0.0,0.0,0.0,0.0,-5.640756752981538,0.0,0.0,0.0,0.0,65.22582564297507
ppg5_0,2020,5,22.810010517354602,43.44238772330282,108.67638,26.783816590265715,-0.4795934010114069,0.0,0.0,0.0,0.0,0.0,0.0,-0.4275714864548152,0.0,0.0,0.0,0.0,92.12904994345692
ppg5_0,2020,6,17.811136126563042,34.75391017864226,64.27034,19.166024214889024,-0.3836747208091255,0.0,0.0,0.0,0.0,0.0,0.0,-0.09029459962399819,0.0,0.0,0.0,0.0,71.25710119966121
ppg5_0,2020,7,14.487908560033434,34.75391017864226,50.172200000000004,14.58951471239354,-0.4076543908596958,0.0,0.0,0.0,0.3154694497282032,0.0,3.163952489416134,0.0,0.0,-0.6190304427968397,0.0,0.0,66.28407055655703
ppg5_0,2020,8,23.364020518882427,43.44238772330282,84.96268,18.684442743987855,-0.5515324111631178,0.0,0.0,0.0,0.0,0.0,0.0,-0.0053114470367056,0.0,0.0,0.0,0.0,84.93400712797327
ppg5_0,2020,9,17.023168945918137,34.75391017864226,65.81757999999999,13.818660243547805,-0.4076543908596959,0.0,0.0,0.0,0.0,0.0,0.0,-0.0053114470367057,0.0,0.0,0.0,0.0,65.18277353021179
