PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 22_promo_ins,Retailer 0_Promo.Group 19_display_bronze,Retailer 0_Promo.Group 22_display_bronze,Vol.Sales,Vol.Sales_pred
ppg5_0,19-01-2020,2020,1,3,16.64677556,0.851925843,0,0,0,0,0,0,-2.571040586,0,0,0,12.15848,14.92766082
ppg5_0,26-01-2020,2020,1,4,15.06963725,0.851925843,0,0,0,0,0,0,-2.56566746,0,0,0,11.33388,13.35589563
ppg5_0,02-02-2020,2020,2,5,14.96952685,0.851925843,0,0,0,0,0,0,-2.562980898,0,0,0,10.88502,13.25847179
ppg5_0,09-02-2020,2020,2,6,11.11450127,0.851925843,0,0,0,0,0,0,-2.571040586,0,0,0,8.80822,9.39538653
ppg5_0,16-02-2020,2020,2,7,16.0652435,0.851925843,0,0,0,0,0,0,-2.562980898,0,0,0,11.14074,14.35418845
ppg5_0,23-02-2020,2020,2,8,15.97871617,0.851925843,0,0,0,0,0,0,-2.56566746,0,0,0,12.08984,14.26497455
ppg5_0,01-03-2020,2020,3,9,21.51039302,0.851925843,0,0,0,0,0,0,-2.56566746,0,0,0,17.55048,19.79665141
ppg5_0,08-03-2020,2020,3,10,15.80295065,0.851925843,0,0,0,0,0,0,-2.568354023,0,0,0,11.64404,14.08652247
ppg5_0,15-03-2020,2020,3,11,16.67200221,0.851925843,0,0,0,0,0,0,-2.56566746,0,0,0,13.73852,14.95826059
ppg5_0,22-03-2020,2020,3,12,15.54717735,0.851925843,0,0,0,0,0,0,-2.562980898,0,0,0,12.18694,13.83612229
ppg5_0,29-03-2020,2020,3,13,13.02013015,0.851925843,0,0,0,0,0,0,-2.554921209,0,0,0,11.80024,11.31713478
ppg5_0,05-04-2020,2020,4,14,12.69054626,0.851925843,0,0,0,0,0,0,-2.533428707,0,0,0,11.97068,11.0090434
ppg5_0,12-04-2020,2020,4,15,16.07419186,0.851925843,0,0,0,0,0,0,-1.853728322,0,0,0,14.26342,15.07238938
ppg5_0,19-04-2020,2020,4,16,18.40809491,0.851925843,0,0,0,0,0,0,-0.961789477,0,0,0,24.03314,18.29823127
ppg5_0,26-04-2020,2020,4,17,15.15947555,0.851925843,0,0,0,0,0,0,-0.357312851,0,0,0,20.45756,15.65408854
ppg5_0,03-05-2020,2020,5,18,17.00013377,0.851925843,0,0,0,0,0,0,-0.161193767,0,0,0,22.5388,17.69086585
ppg5_0,10-05-2020,2020,5,19,16.29020647,0.851925843,0,0,0,0,0,0,-0.091343135,0,0,0,22.03048,17.05078918
ppg5_0,17-05-2020,2020,5,20,21.05622363,0.851925843,0,0,0,0,0,0,-0.077910321,0,0,0,28.41424,21.83023916
ppg5_0,24-05-2020,2020,5,21,17.74672679,0.851925843,0,0,0,0,0,0,-0.04835813,0,0,0,18.86804,18.5502945
ppg5_0,31-05-2020,2020,5,22,14.64020118,0.851925843,0,0,0,0,0,0,-0.053731256,0,0,0,16.82482,15.43839576
ppg5_0,07-06-2020,2020,6,23,11.88277779,0.851925843,0,0,0,0,0,0,-0.053731256,0,0,0,14.12842,12.68097237
ppg5_0,14-06-2020,2020,6,24,15.21882614,0.851925843,0,0,0,0,0,0,-0.037611879,0,0,0,16.0904,16.03314011
ppg5_0,21-06-2020,2020,6,25,22.98099237,0.851925843,0,0,0,0,0,0,-0.032238753,0,0,0,19.6873,23.80067946
ppg5_0,28-06-2020,2020,6,26,17.64302043,0.851925843,0,0,0,0,0,0,-0.010746251,0,0,0,14.36422,18.48420002
ppg5_0,05-07-2020,2020,7,27,14.61876035,0.851925843,0,0,0,0,0,0,-0.002686563,0,0,0,13.35854,15.46799963
ppg5_0,12-07-2020,2020,7,28,13.88717151,0.851925843,0,0,0,0,0,0,0,0,0,0,12.40018,14.73909735
ppg5_0,19-07-2020,2020,7,29,11.57579909,0.851925843,0,0,0,0,0,0,0,0,0,0,10.67796,12.42772493
ppg5_0,26-07-2020,2020,7,30,15.00754215,0.851925843,0,5.235899381,0,0,0,-6.953588766,0,0,0,0,13.73552,14.14177861
ppg5_0,02-08-2020,2020,8,31,20.93165226,0.851925843,0,0,0,0,0,0,-0.002686563,0,0,0,21.05234,21.78089154
ppg5_0,09-08-2020,2020,8,32,18.53208517,0.851925843,0,0,0,0,0,0,-0.002686563,0,0,0,16.32498,19.38132445
ppg5_0,16-08-2020,2020,8,33,14.57939753,0.851925843,0,0,0,0,0,0,-0.002686563,0,0,0,14.15938,15.42863681
ppg5_0,23-08-2020,2020,8,34,16.96029893,0.851925843,0,0,0,0,0,0,-0.002686563,0,0,0,14.64502,17.80953821
ppg5_0,30-08-2020,2020,8,35,17.83664277,0.851925843,0,0,0,0,0,0,-0.002686563,0,0,0,18.78096,18.68588205
ppg5_0,06-09-2020,2020,9,36,16.69225677,0.851925843,0,0,0,0,0,0,-0.005373126,0,0,0,17.20522,17.53880949
ppg5_0,13-09-2020,2020,9,37,12.62788375,0.851925843,0,0,0,0,0,0,-0.005373126,0,0,0,13.93982,13.47443647
ppg5_0,20-09-2020,2020,9,38,17.87717857,0.851925843,0,0,0,0,0,0,-0.005373126,0,0,0,17.57056,18.72373129
ppg5_0,27-09-2020,2020,9,39,17.53210678,0.851925843,0,0,0,0,0,0,-0.002686563,0,0,0,17.10198,18.38134606
