PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 1_Promo.Group 22_display_bronze,Retailer 0_Promo.Group 20_display_platinum,Vol.Sales,Vol.Sales_pred
ppg3_1,15-12-2019,2019,12,50,12.36513537,2.127590156,0,0,0,0,0,0,0,0,10.605165,14.49272553
ppg3_1,22-12-2019,2019,12,51,19.72155234,2.127590156,0,-0.358029488,0,0,0,3.561800189,0,0,24.34078,25.05291319
ppg3_1,29-12-2019,2019,12,52,6.985119175,2.127590156,0,-0.358029488,0,0,0,0,0,0,7.719695,8.754679843
ppg3_1,05-01-2020,2020,1,1,4.376698852,2.127590156,0,-0.358029488,0,0,0,0,0,0,5.25442,6.146259521
ppg3_1,12-01-2020,2020,1,2,4.25766436,2.127590156,0,0,0,0,0,0,0,1.888536571,5.39862,8.273791087
ppg3_1,19-01-2020,2020,1,3,4.41558964,2.127590156,0,0,0,0,0,0,0,0,5.680215,6.543179796
ppg3_1,26-01-2020,2020,1,4,7.001863127,2.127590156,0,0,0,0,0,0,0,0,5.98676,9.129453283
ppg3_1,02-02-2020,2020,2,5,6.34698355,2.127590156,0,-0.358029488,0,0,0,3.561800189,-2.009513468,0,10.72846,9.668830939
ppg3_1,09-02-2020,2020,2,6,10.00726829,2.127590156,0,-0.358029488,0,0,0,3.561800189,0,0,12.70473,15.33862915
ppg3_1,16-02-2020,2020,2,7,4.597856867,2.127590156,0,0,0,0,0,0,0,0,5.822185,6.725447023
ppg3_1,23-02-2020,2020,2,8,8.700283144,2.127590156,0,0,0,0,0,0,0,0,5.50776,10.8278733
ppg3_1,01-03-2020,2020,3,9,4.387816022,2.127590156,0,0,0,0,0,0,0,0,5.975025,6.515406178
ppg3_1,08-03-2020,2020,3,10,9.978526399,2.127590156,0,0,0,0,0,0,0,0,6.682945,12.10611655
ppg3_1,15-03-2020,2020,3,11,5.321781175,2.127590156,0,0,0,0,0,0,0,0,7.49559,7.449371331
ppg3_1,22-03-2020,2020,3,12,10.73535253,2.127590156,0,-0.358029488,0,0,0,0,-2.009513468,0,9.514765,10.49539973
ppg3_1,29-03-2020,2020,3,13,6.055680983,2.127590156,0,0,0,0,0,0,-2.009513468,0,9.168965,6.173757671
ppg3_1,05-04-2020,2020,4,14,11.23382066,2.127590156,0,-0.358029488,14.93358682,0,0,0,0,0,21.46109,27.93696815
ppg3_1,12-04-2020,2020,4,15,23.15165966,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,34.38038,39.42840315
ppg3_1,19-04-2020,2020,4,16,7.703233285,2.127590156,0,0,0,0,0,0,0,0,10.13258,9.830823441
ppg3_1,26-04-2020,2020,4,17,11.25405131,2.127590156,0,0,0,0,0,0,0,0,9.843035,13.38164147
ppg3_1,03-05-2020,2020,5,18,14.89795813,2.127590156,-0.784433482,0,0,0,5.320981117,0,0,0,30.307835,21.56209592
ppg3_1,10-05-2020,2020,5,19,26.77472414,2.127590156,0,0,0,0,0,0,0,0,10.87986,28.9023143
ppg3_1,17-05-2020,2020,5,20,34.45558277,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,68.971575,50.73232626
ppg3_1,24-05-2020,2020,5,21,10.88899333,2.127590156,0,-0.358029488,0,0,0,0,0,0,19.381835,12.658554
ppg3_1,31-05-2020,2020,5,22,17.46753805,2.127590156,0,-0.358029488,0,0,0,0,0,0,19.07939,19.23709872
ppg3_1,07-06-2020,2020,6,23,34.20968822,2.127590156,0,0,0,0,0,0,0,0,13.115025,36.33727837
ppg3_1,14-06-2020,2020,6,24,17.31347218,2.127590156,0,-0.358029488,0,0,0,0,0,0,18.736325,19.08303285
ppg3_1,21-06-2020,2020,6,25,7.428994793,2.127590156,0,0,0,0,0,0,0,0,9.91416,9.556584949
ppg3_1,28-06-2020,2020,6,26,45.117349,2.127590156,0,-0.358029488,0,0,0,0,0,0,22.557885,46.88690967
ppg3_1,05-07-2020,2020,7,27,30.25560698,2.127590156,0,-0.358029488,0,0,0,0,0,0,23.51947,32.02516765
ppg3_1,12-07-2020,2020,7,28,14.32947281,2.127590156,0,0,0,0,0,0,0,0,11.42575,16.45706297
ppg3_1,19-07-2020,2020,7,29,43.83248268,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,103.23568,60.10922617
ppg3_1,26-07-2020,2020,7,30,22.67181677,2.127590156,-0.784433482,0,0,0,0,0,0,0,29.61183,24.01497344
ppg3_1,02-08-2020,2020,8,31,25.1031913,2.127590156,-0.784433482,0,0,0,0,3.561800189,0,0,54.66569,30.00814816
ppg3_1,09-08-2020,2020,8,32,37.17705851,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,62.5889448,53.45380201
ppg3_1,16-08-2020,2020,8,33,10.99036818,2.127590156,0,0,0,0,0,0,0,0,12.20674,13.11795833
ppg3_1,23-08-2020,2020,8,34,29.40458509,2.127590156,-0.784433482,0,0,12.91237559,0,0,0,0,52.11563,43.66011735
ppg3_1,30-08-2020,2020,8,35,9.824784909,2.127590156,0,-0.358029488,0,0,0,0,0,0,11.162465,11.59434558
ppg3_1,06-09-2020,2020,9,36,21.50682688,2.127590156,-0.784433482,0,14.93358682,0,0,0,0,0,27.935295,37.78357037
ppg3_1,13-09-2020,2020,9,37,19.35955528,2.127590156,0,0,0,0,0,0,-2.009513468,0,8.444545,19.47763196
ppg3_1,20-09-2020,2020,9,38,15.77939746,2.127590156,0,0,0,0,0,0,0,0,9.506995,17.90698762
ppg3_1,27-09-2020,2020,9,39,11.31516423,2.127590156,0,-0.358029488,0,0,0,0,0,0,10.51771,13.0847249
