PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_promo_ins,Vol.Sales,Vol.Sales_pred
ppg5_1,07-06-2020,2020,6,23,25.23450523,-2.031572836,0,0,0,0,0,0,-1.474318329,2.704068806,19.30382,24.43268287
ppg5_1,14-06-2020,2020,6,24,21.85613858,-2.031572836,0,0,0,0,0,0,0,0,18.60418,19.82456574
ppg5_1,21-06-2020,2020,6,25,29.94563461,-2.031572836,0,0,0,0,0,0,0,0,19.06758,27.91406178
ppg5_1,28-06-2020,2020,6,26,23.48616445,-2.031572836,0,0,0,0,0,0,-1.474318329,2.704068806,22.27832,22.68434209
ppg5_1,05-07-2020,2020,7,27,22.3726556,-2.031572836,0,0,0,0,0,0,0,0,23.17402,20.34108277
ppg5_1,12-07-2020,2020,7,28,22.36000899,-2.031572836,0,0,0,0,0,0,0,0,21.611,20.32843616
ppg5_1,19-07-2020,2020,7,29,22.66430557,-2.031572836,0,0,0,0,0,0,0,0,18.67046,20.63273274
ppg5_1,26-07-2020,2020,7,30,24.74302697,-2.031572836,0,0,0,0,0,0,0,0,19.31544,22.71145414
ppg5_1,02-08-2020,2020,8,31,25.11766448,-2.031572836,0,0,0,0,0,0,0,0,21.8186,23.08609164
ppg5_1,09-08-2020,2020,8,32,19.89847716,-2.031572836,0,0,0,0,0,0,0,0,15.21132,17.86690432
ppg5_1,16-08-2020,2020,8,33,23.92282984,-2.031572836,0,0,0,0,0,0,0,0,20.94278,21.891257
ppg5_1,23-08-2020,2020,8,34,23.90532544,-2.031572836,0,0,0,0,0,0,0,0,14.77354,21.8737526
ppg5_1,30-08-2020,2020,8,35,23.17538656,-2.031572836,0,0,0,0,0,0,0,0,20.05864,21.14381372
ppg5_1,06-09-2020,2020,9,36,20.26987424,-2.031572836,0,0,0,0,0,0,0,0,17.617,18.2383014
ppg5_1,13-09-2020,2020,9,37,24.70301675,-2.031572836,7.378339706,0,0,0,0,1.595534285,0,0,31.59622,31.64531791
ppg5_1,20-09-2020,2020,9,38,23.68603148,-2.031572836,0,0,0,0,0,0,0,0,23.6863,21.65445865
ppg5_1,27-09-2020,2020,9,39,26.00615795,-2.031572836,0,0,0,0,0,0,0,0,23.22756,23.97458511
