PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 3_display_bronze,Vol.Sales,Vol.Sales_pred
ppg6_0,12-01-2020,2020,1,2,44.76366462,5.368911407,14.78448795,0,26.60608684,0,0,0,0,0,116.40052,91.52315082
ppg6_0,19-01-2020,2020,1,3,23.05826089,5.368911407,0,8.302103672,0,0,0,-4.033443768,0,0,37.55746,32.6958322
ppg6_0,26-01-2020,2020,1,4,11.64486082,5.368911407,0,0,0,0,0,0,0,0,13.99528,17.01377222
ppg6_0,02-02-2020,2020,2,5,28.23772654,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,-0.42028751,46.79716,46.61125906
ppg6_0,09-02-2020,2020,2,6,63.91007474,5.368911407,14.78448795,0,26.60608684,0,0,0,0,-0.42028751,111.77592,110.2492734
ppg6_0,16-02-2020,2020,2,7,20.33906691,5.368911407,0,8.302103672,0,0,0,-4.033443768,0,0,28.69718,29.97663822
ppg6_0,23-02-2020,2020,2,8,7.762939888,5.368911407,0,0,0,0,0,0,0,0,12.95204,13.13185129
ppg6_0,01-03-2020,2020,3,9,33.71370772,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,54.59696,52.50752775
ppg6_0,08-03-2020,2020,3,10,17.99628754,5.368911407,0,8.302103672,0,0,0,-4.033443768,0,0,29.99132,27.63385885
ppg6_0,15-03-2020,2020,3,11,33.29826747,5.368911407,14.78448795,0,0,0,0,-4.033443768,0,0,58.85016,49.41822306
ppg6_0,22-03-2020,2020,3,12,10.96708393,5.368911407,0,0,0,0,0,0,0,0,21.62918,16.33599533
ppg6_0,29-03-2020,2020,3,13,36.1393642,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,59.97298,54.93318423
ppg6_0,05-04-2020,2020,4,14,27.86692188,5.368911407,0,0,0,0,0,0,0,0,46.16996,33.23583329
ppg6_0,12-04-2020,2020,4,15,11.24943575,5.368911407,0,0,0,0,0,0,0,0,18.32224,16.61834716
ppg6_0,19-04-2020,2020,4,16,16.27385958,5.368911407,0,8.302103672,0,0,0,-4.033443768,0,0,24.50688,25.9114309
ppg6_0,26-04-2020,2020,4,17,66.31513356,5.368911407,14.78448795,0,26.60608684,0,0,0,0,0,89.2261,113.0746198
ppg6_0,03-05-2020,2020,5,18,8.041219561,5.368911407,0,0,0,0,0,0,0,0,11.78634,13.41013097
ppg6_0,10-05-2020,2020,5,19,28.74199275,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,39.51874,47.53581278
ppg6_0,17-05-2020,2020,5,20,8.161606552,5.368911407,0,0,0,0,0,0,0,0,11.4614,13.53051796
ppg6_0,24-05-2020,2020,5,21,31.51316723,5.368911407,14.78448795,0,0,0,0,-4.033443768,0,0,44.8536,47.63312283
ppg6_0,31-05-2020,2020,5,22,7.887953989,5.368911407,0,0,0,0,0,0,0,0,11.0417,13.2568654
ppg6_0,07-06-2020,2020,6,23,69.36956545,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,97.96532,88.16338548
ppg6_0,14-06-2020,2020,6,24,17.87377324,5.368911407,0,0,0,0,0,0,0,0,25.41482,23.24268465
ppg6_0,21-06-2020,2020,6,25,22.44843905,5.368911407,0,0,0,0,0,0,0,0,29.99012,27.81735045
ppg6_0,28-06-2020,2020,6,26,9.934731922,5.368911407,0,0,0,0,0,0,0,0,12.43944,15.30364333
ppg6_0,05-07-2020,2020,7,27,37.44399924,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,53.5066,56.23781927
