,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc Intercept,perc Wtd.Selling.Dist,perc Weighted_Price,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc promo_catalogue,perc promo_ins,perc Retailer 0_Promo.Group 20_display_bronze,perc Retailer 0_Promo.Group 20_promo_ins,perc Retailer 0_Promo.Group 3_Weighted_Price,perc Retailer 0_Promo.Group 3_display_bronze,perc Retailer 0_Promo.Group 5_promo_catalogue,perc Retailer 0_Promo.Group 6_Weighted_Price,perc Retailer 0_Promo.Group 6_Wtd.Selling.Dist,perc Retailer 1_Promo.Group 19_Weighted_Price,perc Retailer 1_Promo.Group 19_display_silver,perc Retailer 1_Promo.Group 20_Weighted_Price,perc Retailer 1_Promo.Group 20_Wtd.Selling.Dist,perc Retailer 1_Promo.Group 6_Weighted_Price,perc Retailer 1_Promo.Group 6_Wtd.Selling.Dist
10,ppg22_0,2019,6,16.38,13.96872983946386,3.6236839956820464,122.87764323226796,99.36841955033658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18056920167475643,0.0,-0.004397088834479244,-0.18829535864243468,0.0811488031348077,0.0012168964676941394,-106.0331201383548,-0.33019059182891636,0.0,0.009801258630650183,-54.216155292468535,-0.0015287221298418807,20.27152360652184
11,ppg22_0,2019,7,12.30788,12.393543591503752,4.4344422588106065,130.82583165546293,106.15749581399952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004020928051950458,0.0,0.0,0.0013143868663360381,-111.54273392472484,-0.3076049917540917,0.0,0.009255064869450304,-51.09707264423255,-0.0016735461121671644,22.22077292174223
12,ppg22_0,2019,8,13.87724,14.855867486082156,2.7488443895397325,116.0308992937817,94.37427428294927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2131348541520151,0.19137153745661167,-0.0032420056773162383,-0.22225442339853457,0.09578398841182756,0.0011060694578965268,-85.20072245330711,-0.31179236759803247,0.01618442919322502,0.006610808833952573,-40.212628774417944,-0.0014842868411168214,19.75221694632534
13,ppg22_0,2019,9,16.004559999999998,15.341474439725369,3.834769667458257,125.76014561753333,102.19135673378965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031624644616065675,0.0,0.0,0.0011419567385638843,-95.84291080534291,-0.33793630653748996,0.0,0.007702512935499633,-61.315231525265986,-0.0016402890213008045,21.562660935088132
14,ppg22_0,2019,10,21.44844,14.469025724252417,3.9727367365781094,75.07252914037754,61.411698860757205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018091736914885182,0.0,0.0,0.0007003676381848749,-56.71682064622199,-0.201731105634075,0.0,0.004321778343756002,-28.081968064750818,-0.0009791706644865544,12.000892809055065
15,ppg22_0,2019,11,17.05912,14.40515253861567,3.8948068238127416,94.38872795992052,77.37348520638831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15567677315444114,-0.0024329132348796423,0.0,0.0,0.0008512201580949076,-68.76474876081986,-0.2536366187309849,0.0,0.006274048382723141,-37.52167524790986,-0.0012590915727124258,15.166460687675611
16,ppg22_0,2019,12,17.9686,17.918768265726776,4.475139641739856,112.01405764191696,91.40243407554284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00292946619728916,-0.17164820712593526,0.0,0.0010332132597681513,-83.70929088094896,-0.3009985137494101,0.0,0.007317970559130372,-42.56273255017052,-0.0015460024266770922,18.57183632830857
17,ppg22_0,2020,1,10.7848,14.105536433794793,7.07024775455767,149.3016687296602,121.4034706457414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042446236792189,0.0,0.0,0.001271148806903234,-119.28840903669462,-0.401195897497044,0.0,0.00921526245408167,-52.30901707800876,-0.0020801142529912465,25.009968114657426
18,ppg22_0,2020,2,10.68288,13.645784389177445,7.168093330778177,150.7260810676184,122.40150886929155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004400933545489605,0.0,0.0,0.0013358479737926475,-126.97228456487576,-0.40502350633219875,0.0,0.008700859339781031,-52.26999415066832,-0.002251871549383687,27.083306392071023
19,ppg22_0,2020,3,13.25376,15.072677977003597,7.444100661033823,151.8614941076758,123.22024644451687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4463221792808245,0.0,-0.0038952062862259466,-0.4654193186783343,0.0,0.0013435496115970112,-127.09493509079599,-0.4080745308620082,0.0,0.007484188484737161,-66.06367419510599,-0.002167997697993626,25.673607964062878
20,ppg22_0,2020,4,0.2236,4.168831360976786,108.11556718598582,7201.2014173329135,3251.580211006685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.227743843615878,0.0,-0.20020188019302326,-13.793729761015564,0.0,0.06494215931735242,-6096.378874515616,-19.35070445136905,0.0,0.37182100328474954,-3549.6346639420876,-0.10289082904798748,995.769591579831
21,ppg22_0,2020,5,0.0338,-1.4586859306964663,786.6241035658832,59548.39633563755,1630.500492597369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.50661311930504,0.0,-1.6904560768985208,-91.25082764979527,0.0,0.5427907680775149,-46209.47972083409,-144.01389658999648,13.28965728860296,3.1382876192363907,-27378.71160971896,-0.8642435548121302,7615.386851852738
22,ppg22_0,2020,6,0.00624,-0.5592669854920413,1605.8759405163735,129021.52539388134,1865.117023105686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-473.9941543962356,425.594351675383,-3.406701591977564,-988.5506328727821,0.0,1.17473497322929,-95745.76115366151,-346.7001214203622,0.0,7.35094397298718,-59612.571883931756,-1.7593193279455128,15283.493632089687
23,ppg22_0,2020,8,0.0026,0.1858537384996864,7103.112482112104,309651.66094531526,263.31063855609233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.041277875853847,0.0,0.0,2.903620789002602,-223242.09053819842,-832.0802914088694,0.0,17.64226553516923,-129988.07990596187,-5.115794637088462,44185.99856730085
24,ppg22_0,2020,9,0.00052,0.4976825060813766,11117.485673471385,774129.1523632882,1316.553192780481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.792836515403852,-5931.303797236693,0.0,6.7405482601846085,-497648.15590653924,-2080.2007285221734,0.0,38.59245585817308,-280396.90918108355,-11.014868835842655,95191.02733149294
